
Co./Last Name							Invoice No.	Date				Item Number	Quantity	Description																																		Record ID
Darlington Memorial Hospital CPU							F53055153	02/05/2026				RCL	2	Chips - Raw Chunky																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				SA	12	Satsumas																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				SD5	2	Swedes - Diced																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				SMC	11	Soup Mix - Fine Cut with Celery																																		DA9

Darlington Memorial Hospital CPU							F53148676	02/05/2026				OS2	4	Onions - Sliced																																		DA9

Darlington Memorial Hospital CPU							F53153497	02/05/2026				PD1	8	Potatoes - Diced 10mm																																		DA9

China China Darlington							F53166738	02/05/2026				RCL	19	Chips - Raw Chunky																																		CH10
China China Darlington							F53166738	02/05/2026				Key	1	Key																																		CH10

STAFF Tracys							F53144271	02/05/2026				AG	5	Apples - Golden																																		STAFF - TRACY
STAFF Tracys							F53144271	02/05/2026				AR	5	Apples - Red																																		STAFF - TRACY
STAFF Tracys							F53144271	02/05/2026				B	10	Bananas																																		STAFF - TRACY
STAFF Tracys							F53144271	02/05/2026				BERBL	1	Blueberries																																		STAFF - TRACY
STAFF Tracys							F53144271	02/05/2026				GBK	1	Grapes - Black																																		STAFF - TRACY
STAFF Tracys							F53144271	02/05/2026				J5	10	Potatoes - Jacket 50's																																		STAFF - TRACY
STAFF Tracys							F53144271	02/05/2026				SA	5	Satsumas																																		STAFF - TRACY

The Duke of York Inn Crook							F53162260	02/05/2026				PJB	2	Potatoes - Washed																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				LEE	1	Leeks																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				PAKFL	2	Parsley - Flat Leaf Loose																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				BERBL	1	Blueberries																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				GBK	1	Grapes - Black																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				GAB	1	Garlic - Peeled																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				LW	4	Salad - Bryans Leafy Salad																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				WCD4	6	Cream - Double																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				MSS2	2	Milk - Semi Skimmed (Green Top)																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				CHIRK	0.2	Chillies - Red																																		DU
The Duke of York Inn Crook							F53162260	02/05/2026				E	1	Eggs																																		DU

Holiday Inn Darlington North							F53168096	02/05/2026				FEE	1	Service Fee																																		HO6
Holiday Inn Darlington North							F53168096	02/05/2026				E	3	Eggs																																		HO6
Holiday Inn Darlington North							F53168096	02/05/2026				ONC	5	Onions - Chilli																																		HO6
Holiday Inn Darlington North							F53168096	02/05/2026				MP	1	Peppers - Mixed																																		HO6
Holiday Inn Darlington North							F53168096	02/05/2026				OI	1	Oil - Pure Vegetable																																		HO6
Holiday Inn Darlington North							F53168096	02/05/2026				T75	1	Blue Centrefeed Rolls 2ply 170mmx150mtr																																		HO6
Holiday Inn Darlington North							F53168096	02/05/2026				D4	1	Juice - Orange																																		HO6
Holiday Inn Darlington North							F53168096	02/05/2026				D7	1	Juice - Apple																																		HO6

Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				LB	8	Lettuce - Baby Gem																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				JB5	1	Potatoes - Jacket 50's																																		WA3
Walworth Castle Hotel (Millwood Hotels)							F53158077	02/05/2026				S5	4	Strawberries																																		WA3
